request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 24768300 minimum protected.
request_27,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 6670 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_28,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1302.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_29,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 51524 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_30,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 775.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_31,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 18164000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_32,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 40018 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_33,10509.61,affordable_later,wait,2026-01-12:118000,2026-01-12,none,Pay INR 118000 in full on 2026-01-12. Paying earlier would take the balance below the INR 102100 minimum.
request_34,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 129400 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_35,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 212000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_36,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 3954 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_37,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 14649000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_38,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 971.3 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_39,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 208600 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_40,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1290.3 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_41,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 38760000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This keeps the INR 113100 minimum available over the next 90 days.
request_43,3612516.97,affordable_later,wait,2024-09-12:43339000,2024-09-12,none,Pay IDR 43339000 in full on 2024-09-12. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 95800 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_45,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 21983000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_46,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 49450 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_47,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 38114000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_48,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 45700 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_49,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 34333000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_50,9401.49,affordable_later,wait,2025-08-12:43900,2025-08-12,none,Pay INR 43900 in full on 2025-08-12. Paying earlier would take the balance below the INR 99700 minimum.
request_51,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 7811000 minimum protected.
request_52,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 28870 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_53,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 1699.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_54,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 121528 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_55,79871.97,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-13,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available."
request_56,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 881.56 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_57,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 61446 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This keeps the IDR 14433900 minimum available over the next 90 days.
request_59,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 140600 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_60,91.11,affordable_later,wait,2026-01-12:199.89,2026-01-12,none,Pay USD 199.89 in full on 2026-01-12. Paying earlier would take the balance below the USD 400 minimum.
request_61,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 29062 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_62,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 404.23 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_63,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 343900 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_64,9394.57,not_affordable,not_recommended,none,2024-06-13,none,"The requested amount of INR 63700 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_65,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 54340 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This keeps the INR 80700 minimum available over the next 90 days.
request_67,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2094 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_68,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2091.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_69,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 529.1 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_70,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 243900 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_71,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 21451000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_72,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 11330 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_73,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 71400 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_74,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 5010 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available."
request_76,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 4455.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_77,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 60700 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_78,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 50200 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_79,120.69,affordable_with_plan,partial_payment,2024-09-04:120.69|2024-09-12:2030.91,2024-09-12,none,"The full amount of EUR 2151.6 is not safely payable today. However, EUR 120.69 can be paid today and the remaining amount can be paid on 2024-09-12 within the requested completion date."
request_80,59487.83,not_affordable,not_recommended,none,,none,"The requested amount of INR 217500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_81,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2076 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_82,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1100 minimum protected.
request_83,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 156200 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_84,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 95400 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_85,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 19304000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_86,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 46300 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_87,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 487900 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_88,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 26092 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_89,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 13756000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_90,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 2560 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_91,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1927.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_92,18967.11,affordable_later,wait,2025-02-12:34034,2025-02-12,none,Pay ZAR 34034 in full on 2025-02-12. Paying earlier would take the balance below the ZAR 28100 minimum.
request_93,1263.27,affordable_later,wait,2026-04-14:1729.2,2026-04-14,none,Pay USD 1729.2 in full on 2026-04-14. Paying earlier would take the balance below the USD 1900 minimum.
request_94,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 572 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_95,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 553000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_96,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 90200 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_97,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 23496 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_98,5648.87,affordable_later,wait,2025-08-12:27148,2025-08-12,none,Pay ZAR 27148 in full on 2025-08-12. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 18062 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_100,9562.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-13,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 143500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_102,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1716 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_103,9656.65,affordable_later,wait,2024-09-12:368300,2024-09-12,none,Pay INR 368300 in full on 2024-09-12. Paying earlier would take the balance below the INR 125500 minimum.
request_104,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 17204 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_105,34599.56,affordable_later,wait,2026-06-13:53500,2026-06-13,none,Pay INR 53500 in full on 2026-06-13. Paying earlier would take the balance below the INR 73900 minimum.
request_106,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2207.7 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_107,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2534.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_108,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 55308 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_109,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1863.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_110,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 22352 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_111,16216261.11,affordable_later,wait,2026-04-14:16625000,2026-04-14,none,Pay IDR 16625000 in full on 2026-04-14. Paying earlier would take the balance below the IDR 23022800 minimum.
request_112,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 271.7 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_113,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 36500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_114,1502.49,affordable_later,wait,2026-01-12:65300,2026-01-12,none,Pay INR 65300 in full on 2026-01-12. Paying earlier would take the balance below the INR 113400 minimum.
request_115,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 80500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_116,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 241200 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
